R,Ticker Symbol,Quantity,Price,Mkt_LMT,Customer Side,Exchange Code,Main Order Account,app_id,Current Date,Trade Date and Time,Firm,Branch,seq_num,Order Open Quantity,Order Stop Price,Inventory Account,Counterparty Account or Trader,give_up,Basket,Order Id,Commission Rate,Commission Indicator,Mark Up,Internal Note,Order Route To,Is Cancelled,contra_specialist,contra_mnemonic,contra_badge,contra_qty,contra_date,contra_time,Ticket Id,Latest Parent Order Id,minor_id,OMHS Event
R,        YHOO,    250000,          0.0000,          0.0000,BUY,UQ,YORKX,,20130904,04/26/2013 09:06:16,,,,         0,          0.0000,,YORKX,,,1464168,,T,0,,MULTI,N,,,0,0,0000-00-00,00:00:00,1464168,1464168,0,ORDER
R,         AXL,     15000,         13.4500,         13.4500,SELL,UN,ROSEX,,20130904,04/26/2013 09:23:06,,,,         0,          0.0000,,ROSEX,,,1464171,,T,0,,INCD,N,,,0,0,0000-00-00,00:00:00,1464171,1464171,0,ORDER
R,        YHOO,       300,         25.1300,          0.0000,BUY,UQ,YORKX,,20130904,04/26/2013 09:30:03,,,,         0,          0.0000,PDS0000191,BCAL,,,1464168,0,T,0,,BCAL,N,,,0,0,0000-00-00,00:00:00,1464174,1464168,0,BOT
R,        YHOO,       100,         25.1350,          0.0000,BUY,UQ,YORKX,,20130904,04/26/2013 09:30:03,,,,         0,          0.0000,PDS0000191,BCAL,,,1464168,0,T,0,,BCAL,N,,,0,0,0000-00-00,00:00:00,1464176,1464168,0,BOT
R,        YHOO,       100,         25.1700,          0.0000,BUY,UQ,YORKX,,20130904,04/26/2013 09:30:22,,,,         0,          0.0000,PDS0000191,BCAL,,,1464168,0,T,0,,BCAL,N,,,0,0,0000-00-00,00:00:00,1464178,1464168,0,BOT
R,        YHOO,       300,         25.1500,          0.0000,BUY,UQ,YORKX,,20130904,04/26/2013 09:30:25,,,,         0,          0.0000,PDS0000191,BCAL,,,1464168,0,T,0,,BCAL,N,,,0,0,0000-00-00,00:00:00,1464180,1464168,0,BOT
R,        YHOO,       300,         25.1500,          0.0000,BUY,UQ,YORKX,,20130904,04/26/2013 09:30:25,,,,         0,          0.0000,PDS0000191,BCAL,,,1464168,0,T,0,,BCAL,N,,,0,0,0000-00-00,00:00:00,1464182,1464168,0,BOT
R,        YHOO,       100,         25.1500,          0.0000,BUY,UQ,YORKX,,20130904,04/26/2013 09:30:29,,,,         0,          0.0000,PDS0000191,BCAL,,,1464168,0,T,0,,BCAL,N,,,0,0,0000-00-00,00:00:00,1464186,1464168,0,BOT
R,        YHOO,       300,         25.1500,          0.0000,BUY,UQ,YORKX,,20130904,04/26/2013 09:30:29,,,,         0,          0.0000,PDS0000191,BCAL,,,1464168,0,T,0,,BCAL,N,,,0,0,0000-00-00,00:00:00,1464184,1464168,0,BOT
R,        YHOO,       100,         25.1400,          0.0000,BUY,UQ,YORKX,,20130904,04/26/2013 09:30:35,,,,         0,          0.0000,PDS0000191,BCAL,,,1464168,0,T,0,,BCAL,N,,,0,0,0000-00-00,00:00:00,1464188,1464168,0,BOT
R,        YHOO,       300,         25.1300,          0.0000,BUY,UQ,YORKX,,20130904,04/26/2013 09:30:36,,,,         0,          0.0000,PDS0000191,BCAL,,,1464168,0,T,0,,BCAL,N,,,0,0,0000-00-00,00:00:00,1464190,1464168,0,BOT
R,        YHOO,       200,         25.1300,          0.0000,BUY,UQ,YORKX,,20130904,04/26/2013 09:30:36,,,,         0,          0.0000,PDS0000191,BCAL,,,1464168,0,T,0,,BCAL,N,,,0,0,0000-00-00,00:00:00,1464192,1464168,0,BOT
R,        YHOO,       300,         25.1200,          0.0000,BUY,UQ,YORKX,,20130904,04/26/2013 09:30:36,,,,         0,          0.0000,PDS0000191,BCAL,,,1464168,0,T,0,,BCAL,N,,,0,0,0000-00-00,00:00:00,1464194,1464168,0,BOT
